time_s,node_cpu_percent
6.006,154.9
6.016,0.0
6.026,0.0
6.037,0.0
6.045,0.0
6.055,0.0
6.066,90.7
6.075,0.0
6.086,0.0
6.095,0.0
6.105,0.0
6.115,0.0
6.127,0.0
6.135,0.0
6.145,105.3
6.155,0.0
6.165,101.0
6.175,0.0
6.186,0.0
6.195,0.0
6.205,101.6
6.215,0.0
6.225,0.0
6.237,0.0
6.248,0.0
6.256,126.3
6.265,0.0
6.275,0.0
6.285,0.0
6.295,0.0
6.306,0.0
6.315,0.0
6.325,100.6
6.335,0.0
6.349,0.0
6.355,0.0
6.365,0.0
6.379,0.0
6.388,113.5
6.395,0.0
6.405,0.0
6.417,0.0
6.425,0.0
6.435,0.0
6.446,91.6
6.458,0.0
6.465,0.0
6.483,0.0
6.489,0.0
6.498,0.0
6.505,134.8
6.521,62.9
6.525,0.0
6.535,0.0
6.552,0.0
6.556,0.0
6.566,0.0
6.583,58.0
6.588,0.0
6.596,0.0
6.606,0.0
6.619,0.0
6.626,0.0
6.635,121.1
6.652,0.0
6.655,0.0
6.665,0.0
6.678,0.0
6.686,0.0
6.696,0.0
6.722,38.2
6.723,0.0
6.725,0.0
6.735,0.0
6.751,0.0
6.755,0.0
6.767,83.7
6.775,124.6
6.786,0.0
6.795,0.0
6.805,0.0
6.824,0.0
6.83,0.0
6.837,141.5
6.852,0.0
6.856,0.0
6.869,0.0
6.88,0.0
6.885,0.0
6.895,102.7
6.905,101.4
6.92,0.0
6.926,0.0
6.937,0.0
6.948,0.0
6.957,104.1
6.965,0.0
6.976,0.0
6.985,0.0
6.996,0.0
7.005,0.0
7.015,99.9
7.027,0.0
7.035,0.0
7.047,0.0
7.055,0.0
7.067,80.8
7.075,0.0
7.088,0.0
7.096,0.0
7.105,0.0
7.12,0.0
7.127,157.8
7.136,108.6
7.151,0.0
7.156,0.0
7.168,0.0
7.175,0.0
7.185,99.4
7.198,0.0
7.208,0.0
7.216,0.0
7.226,0.0
7.235,113.6
7.246,0.0
7.256,0.0
7.268,0.0
7.278,0.0
7.285,140.8
7.297,0.0
7.308,0.0
7.319,0.0
7.326,0.0
7.335,0.0
7.349,0.0
7.355,176.9
7.367,0.0
7.375,0.0
7.388,0.0
7.396,119.7
7.405,0.0
7.417,0.0
7.427,0.0
7.435,0.0
7.447,80.4
7.456,0.0
7.467,0.0
7.48,0.0
7.485,0.0
7.495,99.6
7.507,0.0
7.517,0.0
7.525,0.0
7.535,0.0
7.545,94.8
7.556,0.0
7.567,0.0
7.576,0.0
7.585,0.0
7.596,0.0
7.608,85.0
7.615,0.0
7.628,78.1
7.635,0.0
7.645,0.0
7.655,0.0
7.665,0.0
7.676,0.0
7.688,82.5
7.695,0.0
7.705,0.0
7.717,0.0
7.726,0.0
7.735,117.4
7.75,0.0
7.757,0.0
7.765,125.8
7.778,0.0
7.785,0.0
7.795,0.0
7.805,0.0
7.819,72.0
7.825,0.0
7.835,0.0
7.849,0.0
7.856,142.1
7.865,0.0
7.875,0.0
7.887,0.0
7.895,0.0
7.905,97.6
7.917,0.0
7.925,123.3
7.936,0.0
7.951,0.0
7.959,0.0
7.965,161.4
7.983,0.0
7.988,0.0
7.996,123.8
8.014,0.0
8.021,0.0
8.026,238.7
8.036,0.0
8.053,0.0
8.058,0.0
